"filename", "language", "Python", "C", "C++", "Markdown", "comment", "blank", "total"
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/__init__.py", "Python", 616, 0, 0, 0, 20, 170, 806
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/board.c", "C", 0, 319, 0, 0, 3, 47, 369
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/board.h", "C++", 0, 0, 190, 0, 10, 44, 244
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/design.md", "Markdown", 0, 0, 0, 10, 0, 3, 13
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/hash.c", "C", 0, 53, 0, 0, 0, 3, 56
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/hash.h", "C++", 0, 0, 16, 0, 2, 4, 22
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/move.c", "C", 0, 866, 0, 0, 214, 171, 1251
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/move.h", "C++", 0, 0, 85, 0, 26, 33, 144
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/piece.c", "C", 0, 67, 0, 0, 0, 23, 90
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/piece.h", "C++", 0, 0, 33, 0, 12, 20, 65
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/serialization.c", "C", 0, 387, 0, 0, 4, 30, 421
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/serialization.h", "C", 0, 28, 0, 0, 7, 14, 49
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/backend/test.c", "C", 0, 0, 0, 0, 0, 1, 1
"/Users/jordan/Documents/C/ChessLibrary/bulletchess/playground.py", "Python", 35, 0, 0, 0, 19, 9, 63
"Total", "-", 651, 1720, 324, 10, 317, 572, 3594